Datum,Body Fat %,Fitbit body fat %,Fitbit steps,Fitbit tracked sleep minutes,Gewicht
2020-08-23,,,,,75.0
2020-08-24,21.58,,1088.0,339.0,74.1
2020-08-25,21.0,,,,73.1
2020-08-26,21.57,,,,72.9
2020-08-27,21.39,,,,72.7
2020-08-28,19.89,,,,72.6
2020-08-29,19.07,,,,72.3
2020-08-30,19.9,,,,72.4
2020-08-31,19.67,,,,71.8
2020-09-01,19.19,,,,71.9
2020-09-02,18.03,,,,71.4
2020-09-03,19.4,,,,71.6
2020-09-04,19.15,,,,71.3
2020-09-05,18.33,,,,71.8
2020-09-06,18.51,,,,72.3
2020-09-07,19.62,,,,74.8
2020-09-08,19.33,,,,72.8
2020-09-09,19.17,,,,72.2
2020-09-10,19.07,,,,71.8
2020-09-11,18.81,,,,71.9
2020-09-12,18.84,,,,71.3
2020-09-13,18.64,18.6,9382.0,,70.9
2020-09-14,18.16,,,,70.9
2020-09-15,18.47,,,,70.4
2020-09-16,18.87,,,,71.6
2020-09-17,18.71,,,,71.2
2020-09-18,18.66,,,,71.0
2020-09-19,18.99,,,,72.1
2020-09-20,16.76,,,,73.9
2020-09-21,17.88,,,,73.4
2020-09-22,19.47,,,,72.9
2020-09-23,19.43,,,,72.5
2020-09-24,18.64,,,,72.3
2020-09-25,18.73,,,,72.0
2020-09-26,18.49,,,,74.0
2020-09-28,19.42,,,,72.3
2020-09-29,19.29,,,,72.7
2020-09-30,18.78,,,,71.5
2020-10-01,11.51,,,,71.6
2020-10-02,19.23,,,,72.4
2020-10-03,18.06,,,,71.7
2020-10-17,17.18,,,,74.7
2020-10-19,18.23,,,,74.9
2020-10-20,19.85,,,,73.8
2020-10-21,20.27,,,,73.3
2020-10-22,20.15,,,,72.4
2020-10-23,19.62,,,,71.4
2020-10-24,19.25,,,,72.0
2020-10-25,19.89,,,,71.2
2020-10-26,19.39,,,,71.0
2020-10-27,18.9,,,,72.1
2020-10-28,19.06,,,,71.2
2020-10-29,19.14,,,,71.9
2020-10-30,18.46,,,,72.2
2020-10-31,17.3,,,,72.8
2020-11-02,18.9,,,,73.1
2020-11-03,18.7,,,,73.4
2020-11-04,18.33,,,,74.0
2020-11-05,18.9,,,,73.7
2020-11-06,18.61,,,,73.2
2020-11-07,19.25,,,,73.7
2020-11-08,18.88,,,,74.3
2020-11-09,19.2,,,,75.8
2020-11-10,19.19,,,,74.7
2020-11-11,19.51,,,,74.4
2020-11-12,20.36,,,,73.7
2020-11-13,19.92,,,,74.8
2020-11-14,19.33,,,,74.6
2020-11-16,,,,,75.0
2020-11-17,20.5,,,,73.8
2020-11-19,19.64,,,,73.8
2020-11-26,20.08,,,,74.5
2020-12-08,20.4,,,,77.1
2020-12-09,21.66,,,,76.0
2020-12-14,22.18,,,,78.3
2020-12-15,20.27,,,,77.6
2020-12-20,,,,,78.9
2021-01-13,24.13,,,,80.8
2021-01-23,,,,,79.8
2021-01-25,,,,,80.9
2021-01-26,,,,,83.0
2021-02-17,25.27,,,,83.7
2021-02-18,23.82,,,,83.9
2021-02-19,26.68,,,,84.4
2021-02-20,26.53,,,,82.2
2021-02-24,26.03,,,,84.4
2021-02-25,26.34,,,,83.6
2021-02-27,26.77,,,,83.2
2021-02-28,26.48,,,,84.4
2021-03-02,26.27,,,,82.6
2021-03-03,26.46,,,,82.6
2021-03-04,26.38,,,,81.6
2021-03-06,23.18,,,,81.6
2021-03-07,24.55,,,,82.0
2021-03-13,26.22,,,,80.7
2021-03-16,26.12,,,,81.4
2021-03-19,25.57,,,,80.7
2021-03-22,24.61,,,,80.8
2021-03-23,24.78,,,,80.4
2021-03-24,25.72,,,,80.3
2021-03-25,26.33,,,,79.8
2021-03-26,24.97,,,,78.9
2021-03-27,,,,,78.7
2021-04-03,,,,,77.8
2021-04-04,,,,,80.0
2021-04-05,,,,,79.2
2021-05-20,26.51,,,,87.8
2021-05-21,28.15,,,,87.3
2021-05-22,26.16,,,,88.5
2021-05-23,29.56,,,,87.9
2021-05-24,29.5,,,,87.3
2021-05-26,30.38,,,,87.2
2021-05-27,31.04,,,,86.4
2021-05-31,29.68,,,,88.9
2021-06-03,29.16,,,,88.1
2021-06-04,28.33,,,,88.2
2021-06-08,28.81,,,,87.6
2021-06-09,29.61,,,,86.4
2021-06-10,29.24,,,,85.8
2021-06-11,27.92,,,,86.8
2021-06-19,27.27,,,,87.6
2021-06-22,31.47,,,,86.9
2021-06-23,31.54,,,,85.9
2021-06-24,31.21,,,,86.7
2021-06-25,29.8,,,,86.0
2021-07-17,29.81,,,,91.1
2021-07-21,31.95,,,,89.9
2021-07-28,27.26,,,,89.0
2021-08-07,26.23,,,,88.2
2021-08-10,26.23,,,,88.2
2021-08-11,27.66,,,,87.8
2021-08-18,27.35,,,,87.5
2021-08-19,28.54,,,,87.5
2021-08-20,30.44,,,,87.8
2021-08-21,29.75,,,,87.0
2021-08-29,,,,,88.9
2021-09-03,30.66,,,,88.7
2021-09-10,28.71,,,,88.0
2021-09-14,25.07,,,,88.3
2021-09-15,,,,,89.0
2021-10-13,,,,,83.4
2021-10-23,26.46,,,,83.3
2021-11-02,,,,,84.4
2021-11-03,,,,,83.3
2021-11-17,,,,,82.2
2021-12-13,23.71,,,,82.7
2021-12-27,,,,,83.6
2022-01-02,,,,,94.3
2022-01-07,,,,,92.7
2022-01-14,,,,,91.8
2022-01-21,,,,,91.9
2022-01-28,,,,,89.7
2022-02-04,,,,,90.5
2022-02-11,,,,,90.0
2022-02-18,,,,,87.2
2022-02-25,,,,,89.4
2022-03-25,,,,,90.8
2022-03-26,,,,,89.4
2022-03-27,,,,,89.9
2022-06-08,,,,,96.0
2022-06-09,,,,,95.1
2022-06-10,,,,,94.7
2022-06-11,,,,,93.8
2022-06-12,,,,,93.9
2022-06-13,,,,,95.0
2022-06-14,,,,,94.2
2022-06-15,,,,,93.5
2022-06-16,,,,,93.4
2022-06-17,,,,,93.3
2022-06-18,,,,,93.2
2022-06-19,,,,,95.5
2022-06-20,,,,,96.0
2022-06-21,,,,,94.7
2022-06-22,,,,,93.6
2022-06-23,,,,,93.3
2022-06-24,,,,,93.1
2022-06-25,,,,,92.1
2022-06-26,,,,,93.0
2022-06-27,,,,,93.6
2022-06-28,,,,,92.9
2022-06-29,,,,,93.1
2022-06-30,,,,,92.3
2022-07-01,,,,,92.2
2022-07-02,,,,,92.5
2022-07-03,,,,,93.6
2022-07-04,,,,,94.5
2022-07-05,,,,,93.3
2022-07-06,,,,,92.7
2022-07-17,,,,,93.6
2022-07-19,,,,,93.3
2022-07-20,,,,,93.6
2022-07-21,,,,,92.5
2022-07-22,,,,,93.3
2022-07-23,,,,,93.9
2022-07-24,,,,,93.2
2022-07-25,,,,,92.9
2022-07-26,,,,,92.4
2022-07-27,,,,,91.6
2022-07-28,,,,,91.7
2022-07-29,,,,,92.3
2022-07-30,,,,,91.9
2022-07-31,,,,,92.7
2022-08-01,,,,,93.3
2022-08-02,,,,,92.6
2022-08-03,,,,,92.8
2022-08-04,,,,,92.2
2022-08-05,,,,,93.2
2022-08-06,,,,,91.9
2022-08-07,,,,,92.7
2022-08-08,,,,,94.2
2022-08-09,,,,,92.5
2022-08-10,,,,,91.6
2022-08-11,,,,,92.3
2022-08-12,,,,,91.1
2022-08-13,,,,,92.4
2022-08-14,,,,,92.0
2022-08-15,,,,,93.9
2022-08-16,,,,,92.0
2022-08-17,,,,,91.6
2022-08-18,,,,,91.2
2022-08-19,,,,,90.6
2022-08-20,,,,,91.3
2022-08-27,,,,,93.8
2022-08-28,,,,,93.3
2022-08-30,,,,,91.6
2022-08-31,,,,,90.1
2022-09-01,,,,,91.7
2022-09-06,,,,,91.6
2022-09-07,,,,,91.0
2022-09-08,,,,,91.3
2022-09-09,,,,,91.0
2022-09-12,,,,,92.6
2022-09-13,,,,,92.8
2022-09-14,,,,,91.9
2022-09-15,,,,,92.3
2022-09-16,,,,,92.4
2022-09-17,,,,,92.6
2022-09-18,,,,,92.5
2022-09-22,,,,,92.4
2022-10-12,,,,,92.3
2022-10-13,,,,,92.4
2022-10-19,,,,,92.8
2022-10-20,,,,,92.6
2022-10-22,,,,,93.0
2022-10-25,,,,,93.4
2022-10-27,,,,,93.6
2022-10-28,,,,,93.1
2022-10-29,,,,,94.2
2022-11-01,,,,,94.3
2023-03-13,,,,,93.0
2023-03-21,33.42,,,,93.5
2023-03-26,31.26,,,,91.5
2023-03-28,30.17,,,,91.9
2023-03-29,31.95,,,,91.0
2023-03-30,32.06,,,,90.3
2023-03-31,32.33,,,,90.0
2023-04-01,31.79,,,,89.0
2023-04-02,30.29,,,,89.6
2023-04-15,30.18,,,,89.8
2023-04-21,32.97,,,,90.1
2023-05-04,30.48,,,,92.1
2023-05-05,30.84,,,,91.1
