Datum,Mahlzeit,Kalorien,Fett (g),Gesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Transfettsäuren,Cholesterin,Natrium (mg),Kalium,Kohlenhydrate (g),Ballaststoffe,Zucker,Eiweiß (g),Vitamin A,Vitamin C,Kalzium,Eisen,export_headers.note
2020-09-08,Frühstück,150.0,3.0,2.0,0.0,0.0,0.0,0.0,96.0,0.0,10.4,0.0,8.0,20.0,0.0,0.0,0.0,0.0,
2022-11-03,Frühstück,385.0,7.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,19.0,40.0,0.0,0.0,0.0,0.0,
2023-05-20,Frühstück,1421.0,86.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,88.3,0.0,6.2,70.4,0.0,0.0,0.0,0.0,
2023-05-21,Mittagessen,1616.0,16.6,7.5,0.4,3.4,0.0,39.4,7536.0,39.0,241.4,0.5,27.2,46.1,6.8,0.0,19.7,1.2,
2023-05-22,Abendessen,714.0,14.8,2.2,0.6,0.0,0.0,0.0,687.0,3882.0,140.7,25.8,12.7,44.9,99.0,216.0,18.0,54.0,
2023-05-22,Frühstück,460.0,3.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,35.9,0.0,18.8,58.6,0.0,0.0,0.0,0.0,
2023-05-23,Frühstück,319.0,2.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,18.8,55.0,0.0,0.0,0.0,0.0,
2023-05-23,Mittagessen,105.0,0.4,0.1,0.1,0.0,0.0,0.0,1.2,422.4,27.0,3.1,14.4,1.3,5.0,17.1,0.6,1.7,
2023-05-24,Abendessen,1182.0,38.6,19.4,0.3,0.0,0.0,420.0,1.2,942.4,89.3,6.7,43.6,121.8,5.7,297.1,20.6,2.9,
2023-05-25,Abendessen,540.0,33.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,
2023-05-25,Mittagessen,663.0,21.2,0.1,0.1,0.0,0.0,0.0,1.2,422.4,97.3,4.6,14.4,22.7,5.0,17.1,0.6,1.7,
2023-05-26,Abendessen,1549.8,68.0,34.2,0.0,0.0,0.0,0.0,26.0,0.0,177.2,1.8,46.4,51.2,0.0,0.0,12.0,0.0,
2023-05-31,Mittagessen,333.5,1.9,1.1,0.0,0.0,0.0,0.0,252.0,0.0,18.8,0.0,18.8,56.5,0.0,0.0,49.5,0.0,
2023-06-01,Mittagessen,1889.5,109.0,23.5,0.2,0.1,0.0,609.6,1167.7,785.0,177.6,7.8,25.3,136.7,367.8,22.5,120.2,22.0,
2023-06-02,Abendessen,2011.1,75.1,4.9,0.0,0.0,0.0,0.0,324.0,0.0,173.7,3.0,72.1,142.1,0.0,0.0,49.5,0.0,
2023-06-04,Frühstück,733.8,24.3,5.4,0.0,0.0,0.0,217.8,1565.0,80.8,102.9,8.5,4.9,28.0,15.4,0.0,2.8,10.0,
