Datum,Training,Typ,Kalorien aus Training,Minuten für dieses Training,Serien,Wdh. pro Serie,Kilogramm,Schritte,export_headers.note
2020-08-23,MFP iOS calorie adjustment,Ausdauer,143.0,1,,,,,
2020-08-24,MFP iOS calorie adjustment,Ausdauer,28.0,1,,,,,
2020-08-25,MFP iOS calorie adjustment,Ausdauer,25.0,1,,,,,
2020-08-26,MFP iOS calorie adjustment,Ausdauer,31.0,1,,,,,
2020-08-27,MFP iOS calorie adjustment,Ausdauer,39.0,1,,,,,
2020-08-28,MFP iOS calorie adjustment,Ausdauer,17.0,1,,,,,
2020-08-29,MFP iOS calorie adjustment,Ausdauer,16.0,1,,,,,
2020-08-30,MFP iOS calorie adjustment,Ausdauer,122.0,1,,,,,
2020-08-31,MFP iOS calorie adjustment,Ausdauer,26.0,1,,,,,
2020-09-01,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2020-09-02,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2020-09-03,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2020-09-04,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2020-09-05,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2020-09-06,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2020-09-07,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2020-09-08,MFP iOS calorie adjustment,Ausdauer,30.0,1,,,,,
2020-09-09,MFP iOS calorie adjustment,Ausdauer,30.0,1,,,,,
2020-09-10,MFP iOS calorie adjustment,Ausdauer,16.0,1,,,,,
2020-09-11,MFP iOS calorie adjustment,Ausdauer,10.0,1,,,,,
2020-09-12,MFP iOS calorie adjustment,Ausdauer,64.0,1,,,,,
2020-09-13,MFP iOS calorie adjustment,Ausdauer,187.0,1,,,,,
2020-09-14,MFP iOS calorie adjustment,Ausdauer,19.0,1,,,,,
2020-09-15,MFP iOS calorie adjustment,Ausdauer,27.0,1,,,,,
2020-09-16,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2020-09-17,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2020-09-18,MFP iOS calorie adjustment,Ausdauer,11.0,1,,,,,
2020-09-19,MFP iOS calorie adjustment,Ausdauer,167.0,1,,,,,
2020-09-20,MFP iOS calorie adjustment,Ausdauer,1.0,1,,,,,
2020-09-21,MFP iOS calorie adjustment,Ausdauer,27.0,1,,,,,
2020-09-22,MFP iOS calorie adjustment,Ausdauer,44.0,1,,,,,
2020-09-23,MFP iOS calorie adjustment,Ausdauer,94.0,1,,,,,
2020-09-24,MFP iOS calorie adjustment,Ausdauer,31.0,1,,,,,
2020-09-25,MFP iOS calorie adjustment,Ausdauer,12.0,1,,,,,
2020-09-26,MFP iOS calorie adjustment,Ausdauer,29.0,1,,,,,
2020-09-27,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2020-09-28,MFP iOS calorie adjustment,Ausdauer,28.0,1,,,,,
2020-09-29,MFP iOS calorie adjustment,Ausdauer,41.0,1,,,,,
2020-09-30,MFP iOS calorie adjustment,Ausdauer,17.0,1,,,,,
