start,duration,value
2026-03-31T05:05:32+02:00,"[900,60,3300,1800,1440,120,600,900,420,60,877]","[1,0,1,0,1,0,1,3,1,0,1]"
2026-03-31T02:18:32+02:00,"[960,660,2640,1320,2640,1800]","[1,0,1,3,1,3]"
2026-03-30T23:24:32+02:00,"[60,120,60,480,480,360,480,60,1320,180,420,2280,540,2880,660,60]","[0,1,2,0,1,2,1,0,1,2,0,1,0,1,2,0]"
2026-03-30T22:57:33+02:00,"[599,1020]","[1,2]"
2026-03-30T02:46:26+02:00,"[120,780,60,4080]","[0,1,0,1]"
2026-03-30T01:39:26+02:00,"[1080,300]","[1,3]"
2026-03-29T23:15:27+02:00,[599],[1]
2026-03-29T06:31:00+02:00,"[1380,600,1560,60,600,2809]","[1,0,1,0,1,3]"
2026-03-29T03:31:00+02:00,"[5820,840,4020,60,60]","[1,0,1,2,0]"
2026-03-29T00:32:01+01:00,"[6539,600]","[1,0]"
2026-03-28T04:08:01+01:00,"[2100,660,840,900,2340,1200,300,600,960,240]","[1,3,1,0,1,3,0,1,3,0]"
2026-03-28T02:33:01+01:00,"[4980,720]","[1,3]"
2026-03-28T01:20:01+01:00,[3300],[1]
2026-03-27T22:40:02+01:00,[59],[1]
2026-03-28T06:57:01+01:00,"[1320,1260,720,1800]","[1,3,0,1]"
2026-03-27T06:38:08+01:00,"[60,660,600,480,720,1080,300,60,300]","[0,1,3,0,1,3,1,0,1]"
2026-03-27T03:38:08+01:00,"[5160,2700,2100,60,780]","[1,3,1,0,1]"
2026-03-27T01:53:08+01:00,"[2760,900,1920,720]","[1,0,1,3]"
2026-03-26T23:22:09+01:00,[5399],[1]
2026-03-26T04:21:35+01:00,"[3840,60,720,3000,360,420,600,1200]","[1,0,1,3,1,3,1,0]"
2026-03-26T03:32:35+01:00,"[1800,60,360,720]","[1,0,1,3]"
2026-03-26T02:49:35+01:00,[2040],[1]
2026-03-26T01:51:35+01:00,"[1080,960,780]","[1,3,1]"
2026-03-26T01:30:35+01:00,"[780,480]","[1,2]"
2026-03-25T23:00:36+01:00,"[599,1380,60,300,660,600,60,1020,300,780,120,480,360,2040]","[1,2,0,1,2,1,0,1,3,1,0,1,2,1]"
2026-03-26T07:11:35+01:00,[2100],[1]
2026-03-24T22:44:36+01:00,"[599,840,2940]","[1,2,1]"
2026-03-25T05:30:35+01:00,[540],[0]
2026-03-25T02:52:35+01:00,"[1080,1440,660,720,780,780]","[3,1,2,1,3,1]"
2026-03-25T05:39:35+01:00,"[840,360,360,360,1620,2940,60,600,1320]","[1,3,1,0,1,3,0,1,3]"
2026-03-25T02:22:35+01:00,"[1080,720]","[3,1]"
2026-03-24T23:57:35+01:00,"[720,1260]","[2,1]"
2026-03-24T05:13:19+01:00,"[600,60,660,840,600,720,60,1260,360,1020,1800,660,960]","[3,0,1,0,1,3,0,1,0,1,3,0,1]"
2026-03-24T02:15:19+01:00,"[5040,1260,1080,660,720,780,60,1080]","[1,3,0,1,0,1,0,1]"
2026-03-23T23:26:20+01:00,[959],[1]
2026-03-23T07:09:50+01:00,"[1500,480,1020]","[1,0,1]"
2026-03-23T04:18:50+01:00,"[3480,1080,360,1680,1260,480,1200,720]","[1,3,0,1,0,1,3,0]"
