von,bis,"leicht (s)","tief (s)","rem (s)","wach (s)",Aufwachen,"Dauer des Schlafs (s)","Dauer bis zum Wachwerden (s)","Schnarchen (s)",Schnarchepisoden,"Durchschnittliche Herzfrequenz","Herzfrequenz (min)","Herzfrequenz (max)","Night events",Notizen
2026-03-06T22:24:37+01:00,2026-03-07T07:06:36+01:00,21419,2520,4140,3240,8,0,0,0,0,75,70,101,,
2026-03-07T22:53:02+01:00,2026-03-08T08:30:55+01:00,21959,4020,5394,3300,8,0,0,0,0,75,67,90,,
2026-03-08T13:20:55+01:00,2026-03-08T14:57:55+01:00,0,0,0,5820,0,0,0,0,0,80,75,90,,
2026-03-08T22:37:56+01:00,2026-03-09T07:00:55+01:00,22739,2580,1560,3300,8,0,0,0,0,76,72,94,,
2026-03-10T00:55:14+01:00,2026-03-10T07:00:13+01:00,14279,1080,2460,1080,4,0,0,0,0,77,71,92,,
2026-03-10T21:53:20+01:00,2026-03-11T07:42:19+01:00,29218,1320,2280,2220,14,0,0,0,0,78,72,96,,
2026-03-11T23:37:56+01:00,2026-03-12T07:10:55+01:00,20099,1800,2940,2340,6,0,0,0,0,73,68,88,,
2026-03-12T13:09:29+01:00,2026-03-12T15:05:29+01:00,0,0,0,6960,0,0,0,0,0,85,80,98,,
2026-03-13T01:16:30+01:00,2026-03-13T08:23:29+01:00,15479,960,5280,3900,6,0,0,0,0,81,73,95,,
2026-03-13T14:42:41+01:00,2026-03-13T15:54:41+01:00,0,0,0,4320,0,0,0,0,0,88,83,99,,
2026-03-13T22:47:42+01:00,2026-03-14T07:36:41+01:00,31078,600,900,2280,8,0,0,0,0,79,71,95,,
2026-03-14T22:28:28+01:00,2026-03-15T08:08:27+01:00,24719,2820,3120,2940,8,0,0,0,0,82,74,100,,
2026-03-15T13:27:16+01:00,2026-03-15T13:51:16+01:00,0,0,0,1440,0,0,0,0,0,82,81,85,,
2026-03-15T23:50:17+01:00,2026-03-16T08:25:16+01:00,20215,2460,11100,240,3,0,0,0,0,73,68,95,,
2026-03-16T21:56:26+01:00,2026-03-17T08:09:09+01:00,33837,2040,5744,3060,8,0,0,0,0,69,61,82,,
2026-03-17T22:44:10+01:00,2026-03-18T08:05:09+01:00,19379,1200,3660,1740,9,0,0,0,0,69,63,85,,
2026-03-19T01:26:07+01:00,2026-03-19T07:50:06+01:00,16137,2460,3600,360,4,0,0,0,0,70,64,82,,
2026-03-20T00:37:15+01:00,2026-03-20T08:15:14+01:00,20278,3780,3120,780,5,0,0,0,0,68,63,83,,
2026-03-20T23:34:14+01:00,2026-03-21T06:13:13+01:00,16078,2340,3000,2940,5,0,0,0,0,69,62,88,,
2026-03-21T22:49:27+01:00,2026-03-22T08:10:26+01:00,24895,1920,7920,2760,5,0,0,0,0,65,59,82,,
2026-03-22T22:53:51+01:00,2026-03-23T07:59:50+01:00,26457,2280,4440,5700,7,0,0,0,0,70,63,87,,
2026-03-23T23:26:20+01:00,2026-03-24T07:53:19+01:00,22556,1020,4920,4800,11,0,0,0,0,70,62,89,,
2026-03-24T22:44:36+01:00,2026-03-25T08:00:35+01:00,11879,2220,7560,960,4,0,0,0,0,66,60,80,,
2026-03-25T23:00:36+01:00,2026-03-26T07:46:35+01:00,20279,2880,5400,1560,9,0,0,0,0,63,57,77,,
2026-03-26T23:22:09+01:00,2026-03-27T07:49:08+01:00,27478,1020,5100,2220,7,0,0,0,0,66,61,81,,
2026-03-27T22:40:02+01:00,2026-03-28T08:22:01+01:00,24898,780,4800,3420,9,0,0,0,0,68,62,83,,
2026-03-29T00:32:01+01:00,2026-03-29T08:27:49+02:00,19919,60,2809,2160,5,0,0,0,0,66,60,95,,
2026-03-29T23:15:27+02:00,2026-03-30T04:10:26+02:00,10377,2940,2460,720,3,0,0,0,0,66,60,75,,
2026-03-30T22:57:33+02:00,2026-03-31T08:00:09+02:00,28414,2280,4020,4320,11,0,0,0,0,68,61,82,,
